Date,Price,Open,High,Low,Volume,Chg%
"Apr 21, 2016","29,287","29,216","29,670","29,140",27.66K,0.13%
"Apr 20, 2016","29,249","29,289","29,345","29,101",19.01K,-0.02%
"Apr 19, 2016","29,255","29,050","29,299","29,050",13.29K,1.11%
"Apr 18, 2016","28,935","28,950","29,128","28,901",18.45K,0.06%
"Apr 15, 2016","28,918","28,799","28,950","28,772",8.79K,0.65%
"Apr 14, 2016","28,731","29,020","29,050","28,705",13.42K,-1.36%
"Apr 13, 2016","29,128","29,212","29,212","28,980",18.81K,-0.42%
"Apr 12, 2016","29,250","29,190","29,395","29,152",21.90K,-0.01%
"Apr 11, 2016","29,254","29,099","29,315","29,063",21.30K,0.71%
"Apr 08, 2016","29,047","29,000","29,074","28,765",22.56K,0.26%
"Apr 07, 2016","28,972","28,639","29,030","28,618",27.69K,1.40%
"Apr 06, 2016","28,571","28,700","28,749","28,510",17.37K,0.03%
"Apr 05, 2016","28,562","28,224","28,699","28,190",0.26K,1.69%
"Apr 04, 2016","28,086","28,096","28,187","28,032",0.66K,0.11%
"Apr 01, 2016","28,056","28,410","28,530","27,955",5.97K,-1.35%
"Mar 31, 2016","28,441","28,290","28,539","28,290",14.34K,0.49%
"Mar 30, 2016","28,301","28,627","28,692","28,226",20.04K,-1.10%
"Mar 29, 2016","28,616","28,388","28,666","28,281",26.08K,0.76%
"Mar 28, 2016","28,400","28,452","28,487","28,250",16.66K,-0.56%
"Mar 24, 2016","28,560","28,503","28,626","28,450",7.43K,-0.03%
"Mar 23, 2016","28,568","29,000","29,000","28,510",33.73K,-1.65%
"Mar 22, 2016","29,047","28,950","29,337","28,893",32.24K,0.38%
"Mar 21, 2016","28,937","29,102","29,119","28,831",24.49K,-0.68%
"Mar 18, 2016","29,135","29,400","29,460","29,011",27.15K,-0.76%
"Mar 17, 2016","29,357","29,044","29,590","29,044",37.83K,1.34%
"Mar 16, 2016","28,970","29,080","29,157","28,935",22.58K,-0.28%
"Mar 15, 2016","29,050","29,109","29,249","28,885",33.26K,-0.53%
"Mar 14, 2016","29,204","29,449","29,570","29,140",30.93K,-1.02%
"Mar 11, 2016","29,504","29,905","29,920","29,470",36.90K,-1.42%
"Mar 10, 2016","29,928","29,500","29,950","29,088",52.19K,1.12%
"Mar 09, 2016","29,597","29,750","29,750","29,317",34.88K,-0.74%
"Mar 08, 2016","29,819","29,760","30,147","29,760",38.49K,0.75%
"Mar 07, 2016","29,597","29,875","29,960","29,556",14.02K,0.26%
"Mar 04, 2016","29,519","29,684","29,983","29,233",0.33K,0.47%
"Mar 03, 2016","29,381","29,209","29,525","29,120",0.99K,0.55%
"Mar 02, 2016","29,219","29,009","29,240","28,960",1.00K,0.42%
"Mar 01, 2016","29,097","29,600","29,754","29,080",3.94K,-1.16%
"Feb 29, 2016","29,437","29,236","29,625","29,236",14.79K,0.50%
"Feb 26, 2016","29,290","29,588","29,692","29,135",25.74K,-1.50%
"Feb 25, 2016","29,735","29,470","29,765","29,363",26.25K,0.72%
"Feb 24, 2016","29,523","29,310","29,884","29,210",31.23K,0.99%
"Feb 23, 2016","29,234","29,095","29,317","29,077",22.08K,1.10%
"Feb 22, 2016","28,916","29,340","29,340","28,762",21.11K,-1.75%
"Feb 19, 2016","29,432","29,229","29,547","29,180",25.79K,0.76%
"Feb 18, 2016","29,210","28,780","29,270","28,614",22.30K,1.49%
"Feb 17, 2016","28,781","28,790","28,940","28,637",21.68K,-0.07%
"Feb 16, 2016","28,800","28,550","28,969","28,111",31.58K,0.72%
"Feb 15, 2016","28,595","29,251","29,251","28,521",19.54K,-2.36%
"Feb 12, 2016","29,287","29,517","29,722","29,251",24.73K,-1.41%
"Feb 11, 2016","29,706","28,250","30,000","28,250",46.40K,5.30%
"Feb 10, 2016","28,211","28,238","28,250","27,935",20.53K,-0.40%
"Feb 09, 2016","28,325","28,345","28,423","28,078",24.63K,-0.15%
"Feb 08, 2016","28,367","27,496","28,429","27,496",29.38K,2.90%
"Feb 05, 2016","27,568","27,770","28,113","26,850",0.19K,-0.32%
"Feb 04, 2016","27,656","27,235","27,800","27,207",0.11K,1.36%
"Feb 03, 2016","27,285","27,134","27,325","26,976",0.44K,1.03%
"Feb 02, 2016","27,008","27,782","27,782","26,861",1.05K,0.13%
"Feb 01, 2016","26,973","26,755","27,049","26,645",3.57K,0.99%
"Jan 29, 2016","26,709","26,679","26,763","26,527",15.26K,0.03%
"Jan 28, 2016","26,701","26,850","26,900","26,600",16.51K,-0.13%
"Jan 27, 2016","26,736","26,450","26,819","26,450",15.51K,1.31%
"Jan 25, 2016","26,391","26,170","26,444","26,170",16.22K,0.85%
"Jan 22, 2016","26,168","26,254","26,301","26,113",16.83K,-0.08%
"Jan 21, 2016","26,190","26,473","26,513","26,150",28.39K,-1.40%
"Jan 20, 2016","26,563","26,100","26,661","26,100",32.27K,1.91%
"Jan 19, 2016","26,064","26,041","26,085","25,873",20.91K,-0.02%
"Jan 18, 2016","26,070","26,073","26,110","25,971",14.09K,-0.21%
"Jan 15, 2016","26,126","25,630","26,220","25,630",29.46K,1.85%
"Jan 14, 2016","25,652","25,800","26,028","25,609",24.08K,-0.38%
"Jan 13, 2016","25,750","25,660","25,794","25,530",18.36K,0.24%
"Jan 12, 2016","25,689","25,876","25,966","25,630",20.16K,-0.73%
"Jan 11, 2016","25,877","26,075","26,110","25,831",19.91K,-0.43%
"Jan 08, 2016","25,989","26,035","26,095","25,785",23.70K,-0.45%
"Jan 07, 2016","26,106","25,800","26,130","25,780",25.32K,1.36%
"Jan 06, 2016","25,756","25,440","25,789","25,421",24.14K,1.28%
"Jan 05, 2016","25,430","25,360","25,486","25,360",0.17K,0.03%
"Jan 04, 2016","25,423","25,234","25,505","25,030",0.75K,1.92%
"Jan 01, 2016","24,943","24,976","25,071","24,900",2.12K,-0.04%
"Dec 31, 2015","24,952","25,032","25,058","24,880",6.11K,-0.26%
"Dec 30, 2015","25,017","25,175","25,224","25,003",11.24K,-0.35%
"Dec 29, 2015","25,106","25,129","25,243","25,092",10.21K,0.12%
"Dec 28, 2015","25,077","25,136","25,142","25,062",8.71K,-0.28%
"Dec 24, 2015","25,147","25,040","25,180","25,035",5.61K,0.57%
"Dec 23, 2015","25,004","25,150","25,170","24,992",10.71K,-0.68%
"Dec 22, 2015","25,176","25,242","25,316","25,155",12.14K,-0.50%
"Dec 21, 2015","25,302","25,067","25,335","25,051",14.98K,1.16%
"Dec 18, 2015","25,011","24,802","25,146","24,781",15.39K,0.99%
